tranId,productId,qty,amt,tranDate
2025-03-22T_3_19-38-23-246341_1,68,3,7.77,2025-03-22
2025-03-22T_3_19-38-23-246341_1,51,3,7.47,2025-03-22
2025-03-22T_3_19-38-23-246341_1,40,4,14.36,2025-03-22
2025-03-22T_3_19-38-23-246341_1,31,1,2.49,2025-03-22
2025-03-22T_3_19-38-23-246341_1,36,1,2.39,2025-03-22
2025-03-22T_3_19-38-23-246341_1,37,5,13.45,2025-03-22
2025-03-22T_3_19-38-23-246341_1,25,1,2.35,2025-03-22
2025-03-22T_3_19-38-23-246341_1,41,5,11.95,2025-03-22
2025-03-22T_3_19-38-23-246341_1,58,3,6.75,2025-03-22
2025-03-22T_3_19-38-23-246341_1,29,5,13.25,2025-03-22
2025-03-22T_3_19-38-23-246341_1,94,1,1.99,2025-03-22
2025-03-22T_3_19-38-23-246341_1,61,5,6.45,2025-03-22
2025-03-22T_3_19-38-23-246341_1,11,4,19.96,2025-03-22
2025-03-22T_3_19-38-23-246341_1,6,2,3.98,2025-03-22
2025-03-22T_3_19-38-23-246341_1,94,5,9.95,2025-03-22
2025-03-22T_3_19-38-23-246341_1,52,1,0.87,2025-03-22
2025-03-22T_3_19-38-23-246341_1,22,5,13.95,2025-03-22
2025-03-22T_3_19-38-23-246341_1,15,2,5.96,2025-03-22
2025-03-22T_3_19-38-23-246341_1,75,3,26.37,2025-03-22
2025-03-22T_1_19-38-23-246341_2,81,2,7.18,2025-03-22
2025-03-22T_1_19-38-23-246341_2,40,5,17.95,2025-03-22
2025-03-22T_1_19-38-23-246341_2,74,1,0.95,2025-03-22
2025-03-22T_1_19-38-23-246341_2,38,3,10.5,2025-03-22
2025-03-22T_1_19-38-23-246341_2,23,2,7.58,2025-03-22
2025-03-22T_1_19-38-23-246341_2,63,3,11.37,2025-03-22
2025-03-22T_1_19-38-23-246341_2,29,2,5.3,2025-03-22
2025-03-22T_1_19-38-23-246341_2,89,1,2.78,2025-03-22
2025-03-22T_1_19-38-23-246341_2,66,5,19.95,2025-03-22
2025-03-22T_1_19-38-23-246341_2,30,1,3.1,2025-03-22
2025-03-22T_1_19-38-23-246341_2,54,4,3.4,2025-03-22
2025-03-22T_1_19-38-23-246341_2,58,2,4.5,2025-03-22
2025-03-22T_1_19-38-23-246341_2,69,3,11.97,2025-03-22
