tranId,memberId,storeId,tranDate
2025-03-27T_2_10-49-52-631099_1,1147,2,2025-03-27
2025-03-27T_3_10-49-52-631099_2,1146,3,2025-03-27
2025-03-27T_1_10-49-52-631099_3,1145,1,2025-03-27
2025-03-27T_3_10-49-52-631099_4,1179,3,2025-03-27
2025-03-27T_2_10-49-52-631099_5,1197,2,2025-03-27
2025-03-27T_1_10-49-52-631099_6,1175,1,2025-03-27
2025-03-27T_3_10-49-52-631099_7,1164,3,2025-03-27
2025-03-27T_1_10-49-52-631099_8,1142,1,2025-03-27
2025-03-27T_2_10-49-52-631099_9,1165,2,2025-03-27
2025-03-27T_3_10-49-52-631099_10,1174,3,2025-03-27
2025-03-27T_3_10-49-52-631099_11,1104,3,2025-03-27
2025-03-27T_3_10-49-52-631099_12,1105,3,2025-03-27
2025-03-27T_2_10-49-52-632069_13,1107,2,2025-03-27
2025-03-27T_1_10-49-52-632069_14,1174,1,2025-03-27
2025-03-27T_3_10-49-52-632069_15,1124,3,2025-03-27
