tranId,memberId,storeId,tranDate
2023-01-01T_2_12-02-34-917692_1,1102,2,01-01-2023
2023-01-01T_1_12-02-34-917692_2,1191,1,01-01-2023
2023-01-01T_1_12-02-34-917692_3,1112,1,01-01-2023
2023-01-01T_1_12-02-34-917692_4,1197,1,01-01-2023
2023-01-01T_1_12-02-34-917692_5,1174,1,01-01-2023
2023-01-01T_2_12-02-34-917692_6,1105,2,01-01-2023
2023-01-01T_2_12-02-34-918698_7,1151,2,01-01-2023
2023-01-01T_3_12-02-34-918698_8,1123,3,01-01-2023
2023-01-01T_1_12-02-34-918698_9,1160,1,01-01-2023
2023-01-01T_2_12-02-34-918698_10,1186,2,01-01-2023
2023-01-01T_1_12-02-34-918698_11,1125,1,01-01-2023
2023-01-01T_1_12-02-34-918698_12,1180,1,01-01-2023
2023-01-01T_1_12-02-34-918698_13,1176,1,01-01-2023
2023-01-01T_1_12-02-34-918698_14,1156,1,01-01-2023
2023-01-01T_1_12-02-34-918698_15,1117,1,01-01-2023
2023-01-01T_1_12-02-34-918698_16,1162,1,01-01-2023
2023-01-01T_2_12-02-34-918698_17,1200,2,01-01-2023
2023-01-01T_1_12-02-34-918698_18,1194,1,01-01-2023
2023-01-01T_1_12-02-34-918698_19,1101,1,01-01-2023
2023-01-01T_2_12-02-34-918698_20,1173,2,01-01-2023
2023-01-01T_2_12-02-34-918698_21,1130,2,01-01-2023
2023-01-01T_3_12-02-34-918698_22,1121,3,01-01-2023
2023-01-01T_1_12-02-34-918698_23,1176,1,01-01-2023
2023-01-01T_1_12-02-34-919698_24,1159,1,01-01-2023
2023-01-01T_2_12-02-34-919698_25,1125,2,01-01-2023
2023-01-01T_3_12-02-34-919698_26,1119,3,01-01-2023
2023-01-01T_3_12-02-34-919698_27,1136,3,01-01-2023
2023-01-01T_3_12-02-34-919698_28,1103,3,01-01-2023
2023-01-01T_2_12-02-34-919698_29,1182,2,01-01-2023
2023-01-01T_3_12-02-34-919698_30,1195,3,01-01-2023
2023-01-01T_3_12-02-34-919698_31,1179,3,01-01-2023
2023-01-01T_1_12-02-34-919698_32,1130,1,01-01-2023
2023-01-01T_3_12-02-34-919698_33,1117,3,01-01-2023
2023-01-01T_2_12-02-34-919698_34,1178,2,01-01-2023
2023-01-01T_2_12-02-34-919698_35,1138,2,01-01-2023
2023-01-01T_1_12-02-34-919698_36,1142,1,01-01-2023
2023-01-01T_3_12-02-34-919698_37,1184,3,01-01-2023
2023-01-01T_3_12-02-34-919698_38,1162,3,01-01-2023
2023-01-01T_3_12-02-34-919698_39,1169,3,01-01-2023
2023-01-01T_2_12-02-34-920702_40,1148,2,01-01-2023
2023-01-01T_1_12-02-34-920702_41,1170,1,01-01-2023
2023-01-01T_1_12-02-34-920702_42,1156,1,01-01-2023
2023-01-01T_1_12-02-34-920702_43,1110,1,01-01-2023
2023-01-01T_1_12-02-34-920702_44,1115,1,01-01-2023
2023-01-01T_3_12-02-34-920702_45,1169,3,01-01-2023
2023-01-01T_3_12-02-34-920702_46,1115,3,01-01-2023
2023-01-02T_2_12-02-34-920702_1,1114,2,02-01-2023
2023-01-02T_3_12-02-34-920702_2,1144,3,02-01-2023
2023-01-02T_2_12-02-34-920702_3,1101,2,02-01-2023
2023-01-02T_3_12-02-34-920702_4,1179,3,02-01-2023
2023-01-02T_1_12-02-34-920702_5,1169,1,02-01-2023
2023-01-02T_3_12-02-34-920702_6,1155,3,02-01-2023
2023-01-02T_1_12-02-34-920702_7,1150,1,02-01-2023
2023-01-02T_2_12-02-34-920702_8,1196,2,02-01-2023
2023-01-02T_3_12-02-34-920702_9,1143,3,02-01-2023
